0,1,2
0.5039608,0.8858895,1.9723058
0.44249395,0.9418036,1.9662908
0.43500918,0.9009269,2.0414
0.4459266,0.8843704,1.9184601
0.5495262,0.9405954,2.063937
0.4538659,0.95704323,2.1319323
0.4951669,0.91446567,2.1153793
0.48424497,0.9379771,1.9883257
0.45840004,0.90894383,2.0751126
0.4641747,0.97922564,2.001067
0.48364386,0.96438307,1.9181967
0.51358193,0.9355446,2.1120996
0.42536867,0.9105328,1.8638957
0.48090497,0.8526966,2.0422149
0.5472116,0.94114065,2.1760776
0.4971223,0.9122608,2.0446837
0.5002878,0.9468896,1.9903041
0.4738607,0.939775,2.0847564
0.44045147,0.9299369,2.0252745
0.47293213,0.9240687,1.9955523
0.47615245,0.9409835,2.0303829
0.5120143,0.90784806,2.0595677
0.5052396,0.90539736,1.9993057
0.42091113,0.89170104,1.9643353
0.4825586,0.94979507,1.9619657
0.4587855,0.8908938,1.9829952
0.47058874,0.8624769,1.9962963
0.4654713,0.9192105,2.1389775
0.4631658,0.9041124,2.0519786
0.44641978,0.93008566,2.040688
0.4737714,0.91611826,2.018884
0.5430573,1.0001063,2.0062363
0.46552444,0.91978586,1.9539548
0.4861171,0.95542,2.0852044
0.49252576,0.91069853,2.0040243
0.45569262,0.86566705,2.0392256
0.4797419,0.86381286,2.0242033
0.55754805,0.9303717,2.0912845
0.4209598,0.9452033,1.9814367
0.4585503,0.9350538,1.9527365
0.4836328,0.9354808,2.077403
0.5109095,0.92743444,1.9865711
0.48635158,0.9034281,1.9068142
0.53057176,0.94637114,2.0865674
0.42007154,0.86324114,2.0448797
0.46927518,0.9185992,1.9881308
0.47581205,0.928909,2.0986526
0.5534924,0.95370704,2.0753295
0.47877577,0.87861574,2.062649
0.4183059,0.9304824,1.9598595
0.49907595,0.93947583,1.9577292
0.4485892,0.9340106,2.2767718
0.45726848,0.9436432,1.8953197
0.48076922,0.8917538,2.001846
0.50892735,0.92430556,1.9650025
0.5355511,0.907068,2.1188796
0.47702533,0.89419574,1.9591537
0.48753732,0.9019442,2.037331
0.43644735,0.83544654,2.111889
0.489071,0.9392577,2.015319
0.51109713,0.88613033,1.9860102
0.50965464,0.9421872,1.9059603
0.40322706,0.9177153,1.9724449
0.48621833,0.9699123,2.0595741
0.5150005,0.9615223,2.0628772
0.5249287,0.97985977,2.0808325
0.47514153,0.8826207,2.0072036
0.437302,0.8907863,2.0891955
0.4431772,0.88940984,1.8715588
0.49016723,0.89706105,2.0771923
0.4283032,0.97743917,2.0462074
0.48445788,0.87717247,1.9232103
0.48258543,0.8891058,2.1480708
0.492687,0.8965045,2.0391123
0.47439027,0.9801387,1.9371561
0.46697134,0.9496238,2.0319922
0.53702015,0.93174267,2.1545475
0.47834927,0.9105152,2.0007515
0.42044786,0.9306529,2.056628
0.45547557,0.89370733,1.9485352
0.4788405,0.914493,2.0522773
0.5060573,0.9878495,1.9785489
0.4577609,0.9020659,1.9988734
0.46863964,0.90633696,1.9468695
0.43770206,0.86837375,1.9672009
0.5063327,0.95607483,2.1895516
0.4532435,0.8787403,2.176902
0.45611334,0.9485538,1.9440334
0.46068043,0.8821512,2.0604823
0.45386973,0.8841457,1.9348414
0.44072688,0.90834177,2.0153434
0.4880098,0.8469317,2.0714605
0.49993777,0.9355306,2.0420947
0.47784308,0.90531075,2.029015
0.48298755,0.9860715,1.9188429
0.49061674,0.97321135,2.0419583
0.46442926,0.91055435,1.9594936
0.49835485,0.90056735,2.0332994
0.48001945,1.0278447,2.1437225
0.51575977,0.92909557,1.976886
0.48026708,0.9044896,2.0219905
0.4163243,0.8970447,1.9713539
0.5101983,0.89551896,2.0682685
0.43557313,0.9234697,2.0830357
0.55079347,0.9152482,1.9245051
0.44986734,0.9173494,2.0161738
0.461103,0.9439302,2.2468603
0.40772763,0.86171407,1.838099
0.507844,0.94541734,2.0646498
0.48211393,0.9355269,1.8900328
0.47420737,0.92835283,2.0646977
0.4660527,0.94379133,2.1315398
0.50245273,0.8982861,2.0055115
0.4819747,0.9205015,2.053374
0.50547314,0.9328963,1.9663724
0.465681,0.902689,2.0130615
0.46311378,0.9590216,2.015603
0.43976602,0.8596241,1.9818147
0.50169873,0.91890407,2.1912017
0.5106829,0.9434341,2.0244462
0.52474314,0.9441238,1.949642
0.48601115,0.8933304,2.0063796
0.50240445,0.95161504,2.0420294
0.45593527,0.9009452,2.096994
0.5099129,0.9245881,2.0389833
0.5036721,0.9143775,2.1170263
0.39784002,0.897981,1.848746
0.41129833,0.9177624,1.9809974
0.4789397,0.9252764,2.0111966
0.42721742,0.97790515,2.0144405
