0,1,2
0.20329374,0.40658748,0.81317496
0.78379405,1.5675881,3.1351762
0.2986921,0.5973842,1.1947684
0.7174789,1.4349577,2.8699155
0.83871585,1.6774317,3.3548634
0.9444071,1.8888142,3.7776284
0.64488727,1.2897745,2.579549
0.3579778,0.7159556,1.4319112
0.529468,1.058936,2.117872
0.74992245,1.4998449,2.9996898
0.5160793,1.0321586,2.0643172
0.14093912,0.28187823,0.56375647
0.8464995,1.692999,3.385998
0.68314344,1.3662869,2.7325737
0.7379534,1.4759068,2.9518137
0.056972384,0.11394477,0.22788954
0.71846676,1.4369335,2.873867
0.30989397,0.61978793,1.2395759
0.5505526,1.1011052,2.2022104
0.33208328,0.66416657,1.3283331
0.15700197,0.31400394,0.6280079
0.35761523,0.71523046,1.4304609
0.04112619,0.08225238,0.16450477
0.46742696,0.9348539,1.8697078
0.46340626,0.9268125,1.853625
0.77569497,1.5513899,3.1027799
0.16102433,0.32204866,0.6440973
0.34233737,0.68467474,1.3693495
0.50640696,1.0128139,2.0256279
0.5742522,1.1485044,2.2970088
0.017014503,0.034029007,0.068058014
0.5344332,1.0688664,2.1377327
0.4520532,0.9041064,1.8082128
0.11707634,0.23415267,0.46830535
0.48601425,0.9720285,1.944057
0.20079875,0.4015975,0.803195
0.9554472,1.9108944,3.8217888
0.7246902,1.4493804,2.8987608
0.4230401,0.8460802,1.6921604
0.6089666,1.2179332,2.4358664
0.6273067,1.2546134,2.5092268
0.6740463,1.3480926,2.696185
0.13183141,0.26366282,0.52732563
0.18780452,0.37560904,0.7512181
0.21167368,0.42334735,0.8466947
0.7301165,1.460233,2.920466
0.456549,0.913098,1.826196
0.08821386,0.17642772,0.35285544
0.19232708,0.38465416,0.7693083
0.38759553,0.77519107,1.5503821
0.18309736,0.36619473,0.73238945
0.49165702,0.98331404,1.9666281
0.23039436,0.46078873,0.92157745
0.5609277,1.1218554,2.2437108
0.19826972,0.39653945,0.7930789
0.3506059,0.7012118,1.4024236
0.17190617,0.34381235,0.6876247
0.35006416,0.7001283,1.4002566
0.06980848,0.13961697,0.27923393
0.15540522,0.31081045,0.6216209
0.27528882,0.55057764,1.1011553
0.6412597,1.2825193,2.5650387
0.35712236,0.7142447,1.4284894
0.7709023,1.5418046,3.083609
0.83902895,1.6780579,3.3561158
0.88252103,1.7650421,3.5300841
0.6949953,1.3899906,2.7799811
0.14670521,0.29341042,0.58682084
0.2118398,0.4236796,0.8473592
0.08969796,0.17939591,0.35879183
0.32944906,0.6588981,1.3177962
0.94223803,1.8844761,3.7689521
0.75414085,1.5082817,3.0165634
0.809288,1.618576,3.237152
0.07908934,0.15817869,0.31635737
0.37353164,0.7470633,1.4941266
0.5446375,1.089275,2.17855
0.3464489,0.6928978,1.3857956
0.68997055,1.3799411,2.7598822
0.46080607,0.92161214,1.8432243
0.22049677,0.44099355,0.8819871
0.97291553,1.9458311,3.8916621
0.4073146,0.8146292,1.6292584
0.9031926,1.8063852,3.6127703
0.120835245,0.24167049,0.48334098
0.09769869,0.19539738,0.39079475
0.48348397,0.96696794,1.9339359
0.2324794,0.4649588,0.9299176
0.15054482,0.30108964,0.6021793
0.45101613,0.90203226,1.8040645
0.22823787,0.45647573,0.91295147
0.593884,1.187768,2.375536
0.33727676,0.6745535,1.349107
0.27687407,0.55374813,1.1074963
0.2556424,0.5112848,1.0225697
0.43003088,0.86006176,1.7201235
0.056000352,0.112000704,0.22400141
0.48611456,0.9722291,1.9444582
0.4320885,0.864177,1.728354
